School Name,City,AP Classes?,Dual Enrollment?,Offers Electives?,Math Score,English Score,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,student_faculty_ratio,school_type
Arizona Lutheran Academy,Phoenix,Yes,Yes,Yes,28,28,3002,25,57,6,10,15,12,0,32.7,Public
Arizona Preparatory Academy,Phoenix,Yes,Yes,Yes,17,22,19568,310,12,11,1,71,1,2,32.8,Public
Arizona School For The Arts,Phoenix,Yes,Yes,Yes,27,30,481,145,63,4,1,22,5,5,30.2,Public
Arizona Virtual Academy,Phoenix,Yes,Yes,Yes,19,32,"3,635",980,69,6,2,15,1,6,30.6,Public
Asdb/phoenix Day school,Phoenix,No,Yes,yes,5,5,,1834,16,7,6,67,2,2,,
E-institute At Metro,Phoenix,Yes,,,8%,2,20045,398,6.89%,24.13%,6.89%,60.34%,0%,1.72%,,
E-institute At Union Hills,Phoenix,yes,,,55%,45,813,178,46.20%,9.00%,2.50%,37.17%,0%,5.12%,,
Hamilton High School,Chandler,yes,,,52%,68.96,1548,24,44.40%,7.30%,2.10%,21.50%,19%,5.70%,27.1,Public
Intelli-school,Chandler,Yes,,,70,85,,,31.40%,7.10%,5.70%,51.40%,0%,4.30%,,
Kaizen Education Foundation Dba El Dorado High School,Chandler,yes,,,55,65,19037,354,0%,16.87%,0%,46.99%,30.72%,0%,29.4,Public
Mesquite High School,Gilbert,Yes,Yes,Yes,80,75,1841,58,60,20,10,10,5,5,8.9,Private
Mesquite Jr High School,Gilbert,Yes,Yes,Yes,85,70,,,65,20,5,10,5,5,,
Perry High School,Gilbert,Yes,Yes,Yes,80,75,131,5,60,20,10,10,5,5,9.7,Private
San Tan Charter School,Gilbert,Yes,Yes,Yes,90,85,8972,174,80,10,5,5,5,0,1.9,Private
South Valley Junior High School,Gilbert,Yes,Yes,Yes,80,75,,,70,20,5,10,5,5,,
West-mec - Horizon High School,Scottsdale,yes,no,yes,64,69,na,na,87%,0,0,13%,0,0,6.2,Public
Arizona Charter Academy,Surprise,no,yes,yes,27%,28%,na,959,19%,10%,na,66%,1%,4%,33.6,Public
Dysart Ischool,Surprise,yes,yes,yes,28%,42%,na,top 50%,35%,6%,5%,47%,3%,4%,20.9,Public
E-institute At Surprise,Surprise,yes,no,yes,32%,39%,17635,325,43%,6%,1%,40%,3%,na,24.8,Public
Imagine Prep Surprise,Surprise,yes,yes,yes,20,30,na,1125,54%,4%,1%,32%,2%,7%,30.2,Public
Camelback High School,Phoenix,yes,yes,yes,80%,75%,1199,42,8%,7%,1%,77%,1%,6%,2.2,Private
