School Name,City,AP Classes?,Dual Enrollment?,Offers Electives?,Math Score,English Score,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,school_type
Arizona Lutheran Academy,Phoenix,Yes,Yes,Yes,28,28,3002,25,57,6,10,15,12,0,Public
Arizona Preparatory Academy,Phoenix,Yes,Yes,Yes,17,22,19568,310,12,11,1,71,1,2,Public
Arizona School For The Arts,Phoenix,Yes,Yes,Yes,27,30,481,145,63,4,1,22,5,5,Public
Arizona Virtual Academy,Phoenix,Yes,Yes,Yes,19,32,"3,635",980,69,6,2,15,1,6,Public
Mesquite High School,Gilbert,Yes,Yes,Yes,80,75,1841,58,60,20,10,10,5,5,Private
Perry High School,Gilbert,Yes,Yes,Yes,80,75,131,5,60,20,10,10,5,5,Private
San Tan Charter School,Gilbert,Yes,Yes,Yes,90,85,8972,174,80,10,5,5,5,0,Private
E-institute At Surprise,Surprise,yes,no,yes,32,39,17635,325,43,6,1,40,3,na,Public
Camelback High School,Phoenix,yes,yes,yes,80,75,1199,42,8,7,1,77,1,6,Private
Career Success High School - Glendale,Phoenix,yes,yes,yes,75,70,22481,469,8,11,0,77,0,4,Private
Career Success High School - Main Campus,Phoenix,yes,yes,yes,75,70,17688,327,5,10,0,83,0,2,Private
Career Success Jr/Sr High School - North Phoenix,Phoenix,yes,yes,yes,75,70,19723,383,35,5,1,50,0,4,Public
Carl Hayden High School,Phoenix,yes,yes,yes,78,75,1299,44,1,3,0,95,0,1,Private
Sunrise Mountain High School,Peoria,yes,yes,yes,42,41,"6,080",98,70.90,3.00,0.20,18.20,2.90,7,Public
Bella Vista College Prepratory School,Scottsdale,Yes,Yes,Yes,79,79,6101,61,37.10,12.40,0,5.60,4.50,40.40,Private
Basis Scottsdale,Scottsdale,Yes,Yes,Yes,93,96,20,2,23.90,1.80,0.10,6,62.50,5.70,Private
Desert Edge High School,Goodyear,Yes,Yes,Yes,64,66.34,5950,96,7,13,13.50,57.20,2.70,7,Private
Estrella foothills High School,Goodyear,YES,NO,Yes,54,70.69,5547,90,45.60,4.50,1,43.10,1.30,4.60,Private
Great Hearts Academies- Archway Trivium West,Goodyear,NO,Yes,No,74,86.36,1854,90,13.50,7,13,57,3,0,Private
Great Hearts Academies- Trivium Prep,Goodyear,Yes,YES,YES,49,82.79,5905,95,41.7,6.1,6.4,33.5,9.3,8.2,Public
Millenium High School,Goodyear,YES,Yes,no,50,41.67,3148,50,40.6,9.7,1.5,37.4,7.5,0,Private
Highland High School,Gilbert,YES,YES,YES,78,69,221,11,76,3,1,14,5,1,Private
Higley High School,Gilbert,YES,YES,YES,71,64,2426,35,68.10,3.40,0.60,18.90,3.60,0.60,Private
Leading Edge Academy Gilbert Early College,Gilbert,YES,YES,YES,72,62,9286,62,65,3,2,25,2,1,Public
Leading Edge Online Academy,Gilbert,YES,YES,YES,15,45,"13,338",250,66,4,3,25,0,0,Public
Learning Foundation And Performing Arts Gilbert,Gilbert,YES,YES,YES,27,43,13261,447,57,7,0,22,3,1,Public
Paragon Science Academy,Chandler,Yes,Yes,Yes,85,38,"11,638",210,37,19,1,12,29,1,Private
Primavera - Online,Chandler,Yes,Yes,No,14,31,153,7,49,5,4,37,1,1,Public
Seton Catholic Preparatory High School,Chandler,Yes,Yes,Yes,60,75,881,9,72,1,1,16,3,1,Private
Great Hearts Academies - Chandler Prep,Chandler,NO,YES,NO,73,72,"8,171",163,63,4,0,12,15,5,Public
Estrella High School,Avondale,yes,yes,yes,30,30,15742,273,10.50,17.90,0,67.90,0,3.70,Public
La Joya Community High School,Avondale,yes,yes,yes,19,19,1042,37,8,13,0,74,1,4,Public
Chandler High School,Chandler,yes,yes,yes,25,32,185,8,34,10,2,46,6,2,Public
Chandler Online Academy,Chandler,yes,yes,no,48,63,17850,329,78,2,0,15,4,1,Public
Gilbert High School,Gilbert,yes,yes,no,35,34,739,30,66,3,1,24,3,2,Public
Great Hearts Academies - Arete Prep,Gilbert,yes,yes,yes,75,65,10443,194,71,4,1,17,4,3,Private
Intelli-School - Metro Center,Phoenix,yes,yes,yes,42,25,20045,398,25,6,9,59,0,1,Public
Intelli-School - Paradise Valley,Phoenix,yes,yes,yes,56,62,21008,424,37,6,2,52,0,3,Private
International Commerce High School - Phoenix,Phoenix,yes,yes,yes,65,55,10141,186,9,8,0,80,0,3,Public
Kaizen Education Foundation Dba Maya High School,Phoenix,yes,yes,yes,10,10,13045,236,13,14,3,66,3,1,Public
Great Hearts Academies - North Phoenix Prep,Phoenix,yes,yes,yes,53,72,"13,582",245,71,2,2,15,7,3,Public
Great Hearts Academies - Veritas Prep,Phoenix,yes,yes,yes,60,65,"8,185",164,76,1,0,16,3,3,Public
Greenway High School,Phoenix,yes,yes,yes,60,81,"3,646",108,59,5,2,29,4,1,Private
91st psalm Christian School,Phoenix,Yes,Yes,No,80,45,3.324,8,29.2,18.2,3.9,45,3.2,1.5,Private
Aace Paradise Valley,Phoenix,Yes,No,No,42,52,"8,600",151,71.4,2.2,0.3,19.3,2.5,4.3,Public
Aace Smcc Campus,Phoenix,No,No,No,28,13,"11,894",294,6.2,5,1,85.6,1,1.2,Public
Accel,Phoenix,No,No,No,60,70,"2,938",24,28.6,12,1.6,30.7,0.5,26.6,Private
West-Mec - Desert Edge High School,Goodyear,yes,yes,no,50,50,9497,166,9,27,4,53,3,4,Public
Imagine East Mesa Middle School,Mesa,yes,no,yes,37,42,523,223,76,8,2,40,4,3,Private
Gilbert Classical Academy Junior,Glibert,yes,no,yes,88,85,47,11,64,6,0,30,38,6,Private
Gilbert Christian Schools,Gilbert,yes,yes,yes,52,58,703,8,85,12,1,48,29,6,Private
Gilbert Global Academy High School,Gilbert,yes,yes,yes,58,47,"10,990",195,34,2,2,6,1,0,Private
Gilbert Classical Academy High School,Gilbert,yes,yes,yes,92,92,47,7,63,6,1,43,53,3,Private
Vista Peak,Phoenix,Yes,Yes,No,29,19,22127,1321,64,16,2,15,0,3,Public
Vista Verde Middle School,Phoenix,Yes,No,Yes,13,26,1251,383,4,32,3,56,2,2,Public
Washington High School,Phoenix,Yes,Yes,Yes,21,26,3571,56,17,13,3,60,6,1,Public
West Phoenix High School,Phoenix,Yes,Yes,Yes,8,17,12304,1596,2,5,1,90,0,1,Public
Faith Christian School,Mesa,Yes,Yes,Yes,60,55,"3,896th out of 7,602",35th out of 74,64,3,0,16,16,1,Public
Heritage Academy,Mesa,yes,yes,yes,46,61,"3,302",52,70.80,0.50,0.30,25.50,0.60,2.30,Private
Great Hearts Academies - Scottsdale Prep,Scottsdale,Yes,Yes,Yes,72,80,"3,532",54,77,1,0.01,8,9,1,Private
Horizon High School,Scottsdale,Yes,Yes,Yes,78.,76.,"4,862",36,77,2,1,12,4,1,Private
Notre Dame Preparatory,Scottsdale,Yes,Yes,Yes,86.,84,361,4,88,1,0,3,3,0,Private
Saguaro High School,Scottsdale,Yes,Yes,Yes,79,77,"2,683",42,68,4,1,19,5,0,Private
Midtown High School,Phoenix,Yes,Yes,Yes,32,56,"23,944",510,4,0,0,96,0,0,Public
Moon Valley High School,Phoenix,Yes,Yes,Yes,30,21,"3,474",107,41,9,3,42,3,2,Public
Mountain Pointe High School,Phoenix,Yes,Yes,Yes,22,26,506,21,35,22,3,30,3,1,Public
Alhambra High School,Phoenix,No,No,No,30,30,"10,646",188,6,8,2,79,5,6,Public
Arcadia High School,Phoenix,Yes,Yes,Yes,29,34,5507,88,54,4,2,35,3,2,Public
Precision Academy,Phoenix,YES,YES,YES,70,41,13261-17680,402,0,5,2,94,0,0,Public
Pvonline,Phoenix,YES,YES,YES,30,50,12328,452,50,7.24,1.44,31.88,3.62,5.79,Private
Mesa High School,Mesa,yes,yes,yes,50,23,7961,139,29,4,2,62,1,2,Public
Mountain View High School,Mesa,yes,yes,yes,37,37,3795,100,66,3,4,24,2,1,Private
Tolleson Union High School,Tolleson,yes,no,no,12,22,9882,129,4.1,9.5,1,82.4,1.1,1.5,Public
University High School,Tolleson,Yes,Yes,yes,30,89,27,5,10.1,9.4,0.2,63.5,14.1,2.5,Public
West-Mec- Sierra Linda High School,Tolleson,yes,no,no,30,30,13260,162,3.3,7.9,0.9,85.1,0.9,1.3,Public
Betty Fairfax High School,Laveen,yes,yes,no,50,50,9497,166,9,27,4,53,3,4,Public
Cesar Chavez High School,Laveen,yes,yes,yes,45,43,8288,144,3,15,4,74,1,2,Public
Heritage Academy Laveen,Laveen,yes,yes,no,42,47,7040,135,28,13,4,50,4,1,Private
Academy with Community Partners,Mesa,yes,no,no,50,50,13383,250,29,8,2,56,0,5,Public
Great Hearts Academies - Glendale Prep,Peoria,no,no,no,58,72,5391,198,73,1,0,12,9,5,Private
Liberty High School,Peoria,yes,yes,yes,73,55,5817,40,78,4,1,12,2,3,Public
Ombudsman - Charter Northwest,Peoria,yes,no,yes,20,39,19951,393,31,13,4,51,0,1,Public
Peoria Accelerated High School,Peoria,no,no,yes,5,8,8620,191,20,11,2,64,1,3,Public
Arizona College Prep,Chandler,Yes,Yes,yes,91,83,"9,474",181,43,4,1,15,30,7,Private
Independence High School,Glendale,Yes,Yes,Yes,23.4,22.9,3552,59,60,15,1,18,4,2,Public
Intelli-school Glendale,Glendale,Yes,No,Yes,70,80,"20,398",408,70,10,0,20,0,10,Private
Ironwood High School,Glendale,Yes,Yes,Yes,23.6,22.8,1998,67,55,15,1,23,4,2,Public
Jefferson Preparatory High School,Glendale,Yes,Yes,Yes,24.2,23.7,"19,994",396,60,15,1,20,4,0,Public
Life Development Institute,Glendale,No,Yes,Yes,45,40,"6,189",63,70,10,0,20,0,10,Private
Arizona Call-A-Teen Center for Excellence,Phoenix,yes,No,Yes,60,70,"20,508",411,3,3,4,89,0,0,Private
Arizona Collegiate High School,Phoenix,yes,Yes,Yes,30,30,"18,400",338,5,8,2,85,0,0,Public
Arizona Conservatory for Arts and Academics,Phoenix,yes,Yes,Yes,27,42,"16,134",284,68,8,2,19,1,0,Public
Arizona Cultural Academy & College Prep,Phoenix,yes,Yes,Yes,25,25,"1,775",16,40,27,0,4,27,0,Public
Arizona Insight Academy,Phoenix,yes,Yes,Yes,16,23,"7,062",143,65,6,3,20,0,0,Public
Cactus Shadows High School,Scottsdale,Yes,Yes,Yes,46,49,2512,90,88,1,0,7,3,1,Private
Chaparral High School,Scottsdale,Yes,Yes,Yes,35,40,1378,47,82,3,1,8,6,1,Public
Coronado High School,Scottsdale,Yes,Yes,Yes,8,12,5699,131,25,7,8,57,1,2,Public
Desert Mountain High School,Scottsdale,Yes,Yes,Yes,47,49,1009,35,77,3,1,8,11,1,Private
West-mec - Cortez High School,Phoenix,Yes,Yes,Yes,64,49,"25,823",609,50,50,0,0,0,0,Private
West-mec - Moon Valley High School,Phoenix,No,No,No,74,64,"25,823",609,100,0,0,0,0,0,Public
West-mec - North Canyon High School,Phoenix,Yes,Yes,Yes,39,39,"25,423",576,50,0,17,17,0,17,Private
West-mec - Paradise Valley High School,Phoenix,No,No,No,40,42,"25,948",630,0,0,0,0,0,100,Private
Pinnacle High School,Phoenix,Yes,Yes,Yes,49,54,1998,27,74.9,1.8,0.2,13.6,4.3,5.4,Public
Intelli School,Chandler,Yes,No,Yes,50,72,21252,431,16,4,4,65,1,5,Private
Kaizen Education Foundation Dba El Dorado High School,Chandler,Yes,Yes,No,22.4,23.4,19037,354,19,16,2,63,1,3,Public
